Mesh.id,mirNA
D001749,hsa-mir-34
D001749,hsa-mir-375
D001749,hsa-mir-9
D001749,hsa-mir-185
D001749,hsa-mir-133a
D001749,hsa-mir-195
D001749,hsa-mir-26a
D001749,hsa-mir-30
D001749,hsa-mir-30c
D001749,hsa-mir-30e
D001749,hsa-mir-133b
D001749,hsa-mir-26b
D001749,hsa-mir-129
D001749,hsa-mir-17
D001749,hsa-mir-103
D001749,hsa-mir-31
D001749,hsa-mir-222
D001749,hsa-mir-452
D001749,hsa-mir-452*
D001749,hsa-mir-7
D001749,hsa-mir-10a
D001749,hsa-mir-127
D001749,hsa-mir-205
D001749,hsa-mir-23a
D001749,hsa-mir-23b
D014397,hsa-let-7g
D014397,hsa-mir-155
D014397,hsa-mir-16
D014397,hsa-mir-192
D014397,hsa-mir-200c
D014397,hsa-mir-204
D014397,hsa-mir-206
D014397,hsa-mir-21
D014397,hsa-mir-29a
D014397,hsa-mir-30b
D014397,hsa-mir-31
D014397,hsa-mir-146a
D014397,hsa-mir-149
D014397,hsa-mir-196a
D014397,hsa-mir-499
D014397,hsa-mir-499a
D014397,hsa-mir-144
D014397,hsa-mir-124
D014397,hsa-mir-618
D014397,hsa-mir-125b
D014397,hsa-mir-19b
D014397,hsa-mir-130b
D014397,hsa-mir-181b
D014397,hsa-mir-223
D014397,hsa-mir-302a
D014397,hsa-mir-32
D014397,hsa-mir-342
D014397,hsa-mir-421
D014397,hsa-mir-424
D014397,hsa-mir-451a
D014397,hsa-mir-486
D014397,hsa-mir-520d
D014397,hsa-mir-548b
D014397,hsa-mir-550a
D014397,hsa-mir-550b
D014397,hsa-mir-640
D014397,hsa-mir-147a
D014397,hsa-mir-147b
D014397,hsa-mir-3179
D014376,hsa-mir-9
D014376,hsa-mir-223
D014376,hsa-mir-183
D014376,hsa-mir-125b
D014376,hsa-mir-337
D014376,hsa-mir-155
D014376,hsa-mir-20a
D014376,hsa-mir-29
D014376,hsa-mir-381
D014376,hsa-mir-582
D014376,hsa-mir-146a
D014376,hsa-mir-17
D014376,hsa-mir-196
D014376,hsa-mir-196b
D014376,hsa-mir-376c
D014376,hsa-mir-424
D014123,hsa-mir-106b
D014123,hsa-mir-132
D014123,hsa-mir-146a
D014123,hsa-mir-155
D014123,hsa-mir-17
D014123,hsa-mir-18a
D014123,hsa-mir-19a
D014123,hsa-mir-19b
D014123,hsa-mir-20a
D014123,hsa-mir-106a
D014123,hsa-mir-18b
D014123,hsa-mir-20b
D014123,hsa-mir-9
D005879,hsa-mir-189
D005879,hsa-mir-24
D014062,hsa-mir-184
D014062,hsa-mir-195
D014062,hsa-mir-375
D014062,hsa-mir-15b
D014062,hsa-mir-200b
D014062,hsa-mir-491
D014062,hsa-mir-639
D013967,hsa-mir-125a
D013967,hsa-mir-155
D013967,hsa-mir-200a
D013964,hsa-mir-214
D013964,hsa-mir-146a
D013964,hsa-mir-146b
D013964,hsa-mir-21
D013964,hsa-mir-27a
D013964,hsa-mir-449b
D013964,hsa-mir-126
D013964,hsa-mir-129
D013964,hsa-mir-148a
D013964,hsa-mir-584
D013964,hsa-mir-639
D013964,hsa-mir-204
D013964,hsa-mir-221
D013964,hsa-mir-222
D013964,hsa-mir-34b
D013964,hsa-mir-375
D013964,hsa-let-7a
D013964,hsa-mir-150
D013964,hsa-mir-23b
D013945,hsa-mir-140
D013945,hsa-mir-1976
D013945,hsa-mir-3613
D013945,hsa-mir-3913
D013945,hsa-mir-450b
D013945,hsa-mir-542
D013945,hsa-mir-639
D013927,hsa-mir-32
D013927,hsa-mir-126
D013927,hsa-mir-148a
D013927,hsa-mir-483
D013922,hsa-mir-145
D013922,hsa-mir-146a
D013921,hsa-mir-155
D013921,hsa-mir-9
D013920,hsa-mir-203
D013920,hsa-mir-221
D013920,hsa-mir-1
D013920,hsa-mir-133a
D013920,hsa-mir-223
D013789,hsa-mir-144
D013771,hsa-mir-9
D013736,hsa-mir-371a
D013736,hsa-mir-372
D013736,hsa-mir-373
D013736,hsa-mir-199a
D013736,hsa-mir-133b
D013736,hsa-mir-486
D013736,hsa-mir-629
D013683,hsa-mir-205
D024801,hsa-mir-219
D013494,hsa-mir-132
D013313,hsa-mir-212
D013313,hsa-mir-3130
D013313,hsa-mir-125a
D013274,hsa-mir-103
D013274,hsa-mir-107
D013274,hsa-mir-125
D013274,hsa-mir-194
D013274,hsa-mir-206
D013274,hsa-mir-21
D013274,hsa-mir-331
D013274,hsa-mir-383
D013274,hsa-mir-145
D013274,hsa-mir-490
D013274,hsa-mir-218
D013274,hsa-mir-219
D013274,hsa-mir-27b
D013274,hsa-mir-34b
D013274,hsa-mir-34c
D013274,hsa-mir-526b
D013274,hsa-mir-9
D013274,hsa-mir-125b
D013274,hsa-mir-200c
D013274,hsa-mir-483
D013274,hsa-mir-137
D013274,hsa-mir-148a
D013274,hsa-mir-18a
D013274,hsa-mir-3178
D013274,hsa-mir-34a
D013274,hsa-mir-370
D013274,hsa-mir-449a
D013274,hsa-mir-1297
D013274,hsa-mir-186
D013274,hsa-mir-32
D013274,hsa-mir-335
D013274,hsa-let-7a
D013274,hsa-mir-100
D013274,hsa-mir-1284
D013274,hsa-mir-133b
D013274,hsa-mir-152
D013274,hsa-mir-155
D013274,hsa-mir-190b
D013274,hsa-mir-19a
D013274,hsa-mir-200b
D013274,hsa-mir-204
D013274,hsa-mir-22
D013274,hsa-mir-24
D013274,hsa-mir-29a
D013274,hsa-mir-29b
D013274,hsa-mir-29c
D013274,hsa-mir-30
D013274,hsa-mir-30a
D013274,hsa-mir-31
D013274,hsa-mir-340
D013274,hsa-mir-423
D013274,hsa-mir-429
D013274,hsa-mir-449c
D013274,hsa-mir-502
D013274,hsa-mir-520d
D013274,hsa-mir-574
D013274,hsa-mir-10b
D013274,hsa-mir-1228
D013274,hsa-mir-124
D013274,hsa-mir-125a
D013274,hsa-mir-126
D013274,hsa-mir-129
D013274,hsa-mir-1296
D013274,hsa-mir-133a
D013274,hsa-mir-134
D013274,hsa-mir-136
D013274,hsa-mir-141
D013274,hsa-mir-143
D013274,hsa-mir-144
D013274,hsa-mir-16
D013274,hsa-mir-181a
D013274,hsa-mir-185
D013274,hsa-mir-187
D013274,hsa-mir-19b
D013274,hsa-mir-200a
D013274,hsa-mir-203
D013274,hsa-mir-221
D013274,hsa-mir-222
D013274,hsa-mir-223
D013274,hsa-mir-224
D013274,hsa-mir-34
D013274,hsa-mir-363
D013274,hsa-mir-4496
D013274,hsa-mir-494
D013274,hsa-mir-495
D013274,hsa-mir-509
D013274,hsa-mir-520b
D013274,hsa-mir-520e
D013274,hsa-mir-532
D013274,hsa-mir-630
D013274,hsa-mir-638
D013274,hsa-mir-646
D013274,hsa-mir-7
D013274,hsa-mir-339
D013274,hsa-mir-508
D013274,hsa-mir-647
D013274,hsa-mir-199a
D013274,hsa-mir-375
D013274,hsa-mir-106b
D013274,hsa-mir-17
D013274,hsa-mir-1914
D013274,hsa-mir-20a
D013274,hsa-mir-378
D013274,hsa-mir-499
D013274,hsa-mir-524
D013274,hsa-mir-628
D013274,hsa-mir-451
D013274,hsa-mir-23b
D013274,hsa-mir-122a
D013274,hsa-mir-196a
D013274,hsa-mir-25
D013274,hsa-mir-512
D013274,hsa-mir-27a
D013274,hsa-mir-106a
D013274,hsa-mir-214
D013274,hsa-mir-191
D013274,hsa-mir-15b
D013167,hsa-mir-21
D013167,hsa-mir-29a
D013167,hsa-mir-146a
D013167,hsa-mir-499
D013167,hsa-mir-155
D013167,hsa-mir-10b
D013167,hsa-mir-124
D013167,hsa-let-7i
D020181,hsa-mir-145
D012878,hsa-mir-148a
D012878,hsa-mir-146a
D012878,hsa-mir-23b
D012878,hsa-mir-302a
D012878,hsa-mir-302b
D012878,hsa-mir-302c
D012878,hsa-mir-302d
D012878,hsa-mir-383
D012871,hsa-mir-150
D012871,hsa-mir-203
D012859,hsa-mir-155
D012859,hsa-mir-146a
D012859,hsa-mir-181a
D012859,hsa-mir-126
D012859,hsa-mir-335
D012859,hsa-mir-299
D012859,hsa-mir-148a
D012859,hsa-mir-150
D012859,hsa-mir-152
D012859,hsa-mir-16
D012859,hsa-mir-21
D012859,hsa-mir-223
D012859,hsa-mir-224
D012859,hsa-mir-32
D012859,hsa-mir-342
D012859,hsa-mir-146b
D012829,hsa-mir-181c
D012829,hsa-mir-29a
D012778,hsa-mir-16
D045169,hsa-mir-17
D045169,hsa-mir-214
D045169,hsa-mir-574
D018805,hsa-mir-150
D018239,hsa-mir-372
D012595,hsa-mir-29a
D012595,hsa-mir-142
D012595,hsa-mir-21
D012595,hsa-mir-30b
D012595,hsa-mir-193b
D012595,hsa-mir-202
D012595,hsa-mir-30a
D012595,hsa-mir-130b
D012595,hsa-mir-129
D012595,hsa-mir-145
D012595,hsa-mir-146a
D012595,hsa-mir-146b
D012595,hsa-mir-29b
D012595,hsa-mir-31
D012595,hsa-mir-503
D012595,hsa-mir-155
D012595,hsa-mir-16
D012595,hsa-mir-9
D012595,hsa-mir-150
D012559,hsa-mir-346
D012559,hsa-let-7g
D012559,hsa-mir-103a
D012559,hsa-mir-103b
D012559,hsa-mir-132
D012559,hsa-mir-137
D012559,hsa-mir-17
D012559,hsa-mir-181b
D012559,hsa-mir-195
D012559,hsa-mir-212
D012559,hsa-mir-219
D012559,hsa-mir-22
D012559,hsa-mir-30e
D012559,hsa-mir-34a
D012559,hsa-mir-432
D012559,hsa-mir-7
D012559,hsa-mir-9
D012559,hsa-mir-106b
D012559,hsa-mir-130b
D012559,hsa-mir-146b
D012559,hsa-mir-15a
D012559,hsa-mir-15b
D012559,hsa-mir-193a
D012559,hsa-mir-23a
D012559,hsa-mir-29a
D012559,hsa-mir-34
D012559,hsa-mir-4449
D012559,hsa-mir-198
D012559,hsa-mir-206
D012559,hsa-mir-2682
D012559,hsa-mir-103
D012559,hsa-mir-122
D012559,hsa-mir-124
D012559,hsa-mir-130
D012559,hsa-mir-138
D012559,hsa-mir-144
D012559,hsa-mir-181
D012559,hsa-mir-19
D012559,hsa-mir-218
D012559,hsa-mir-26b
D012559,hsa-mir-29b
D012559,hsa-mir-30a
D012559,hsa-mir-30b
D012559,hsa-mir-335
D012559,hsa-mir-338
D012559,hsa-mir-365
D012559,hsa-mir-449a
D012559,hsa-mir-652
D012559,hsa-mir-20b
D012559,hsa-mir-24
D012559,hsa-mir-29c
D012559,hsa-mir-30d
D012559,hsa-let-7
D012559,hsa-mir-183
D012559,hsa-mir-497
D012559,hsa-mir-107
D012554,hsa-mir-21
D012554,hsa-mir-223
D012554,hsa-mir-31
D012554,hsa-mir-146b
D013584,hsa-mir-146b
D013584,hsa-mir-148b
D013584,hsa-mir-195
D013584,hsa-mir-223
D013584,hsa-mir-500b
D013584,hsa-mir-505
D013584,hsa-mir-9
D013584,hsa-let-7e
D013584,hsa-mir-125a
D013584,hsa-mir-17
D012514,hsa-mir-146a
D012514,hsa-mir-149
D012514,hsa-let-7
D012514,hsa-mir-9
D012514,hsa-mir-155
D012514,hsa-mir-17
D012514,hsa-mir-21
D012514,hsa-mir-23
D012514,hsa-mir-31
D012514,hsa-mir-409
D012514,hsa-mir-7
D012514,hsa-mir-100
D012514,hsa-mir-1258
D012514,hsa-mir-1293
D012514,hsa-mir-199b
D012514,hsa-mir-200
D012514,hsa-mir-32
D012514,hsa-mir-335
D012514,hsa-mir-498
D012514,hsa-mir-608
D012514,hsa-let-7a
D012514,hsa-mir-891a
D012514,hsa-let-7b
D012514,hsa-let-7c
D012514,hsa-let-7d
D012514,hsa-let-7e
D012514,hsa-let-7f
D012514,hsa-let-7g
D012514,hsa-let-7i
D012514,hsa-mir-221
D012514,hsa-mir-222
D012514,hsa-mir-24
D012509,hsa-mir-34a
D012509,hsa-mir-34b
D012509,hsa-mir-34c
D012509,hsa-mir-16
D012509,hsa-mir-17
D012509,hsa-mir-182
D012509,hsa-mir-20a
D012509,hsa-mir-206
D012509,hsa-mir-200a
D012509,hsa-mir-200b
D012509,hsa-mir-200c
D012509,hsa-mir-141
D012509,hsa-mir-429
D012509,hsa-mir-210
D012509,hsa-let-7a
D017565,hsa-let-7f
D017565,hsa-mir-128a
D017565,hsa-mir-130a
D017565,hsa-mir-15b
D017565,hsa-mir-16
D017565,hsa-mir-192
D017565,hsa-mir-20a
D017565,hsa-mir-221
D017565,hsa-mir-222
D012480,hsa-mir-15
D012480,hsa-mir-29a
D012480,hsa-mir-128
D012468,hsa-let-7
D012468,hsa-let-7a
D012468,hsa-mir-132
D012468,hsa-mir-17
D012468,hsa-mir-181a
D012468,hsa-mir-195
D012468,hsa-mir-221
D012468,hsa-mir-24
D012468,hsa-mir-144
D012468,hsa-mir-20b
D012468,hsa-mir-375
D012468,hsa-mir-133b
D012468,hsa-mir-140
D012468,hsa-mir-15a
D012468,hsa-mir-16
D012468,hsa-mir-20a
D012468,hsa-mir-21
D012468,hsa-mir-29
D012468,hsa-mir-34
D012468,hsa-mir-34a
D012468,hsa-mir-9
D012468,hsa-mir-154
D012468,hsa-mir-188
D012468,hsa-mir-23b
D012468,hsa-mir-299
D012468,hsa-mir-29c
D012468,hsa-mir-301a
D012468,hsa-mir-301b
D012468,hsa-mir-302c
D012468,hsa-mir-337
D012468,hsa-mir-376a
D012468,hsa-mir-409
D012468,hsa-mir-449a
D012468,hsa-mir-449b
D012468,hsa-mir-495
D012466,hsa-mir-21
D012214,hsa-mir-1183
D012214,hsa-mir-1299
D012214,hsa-mir-205
D012214,hsa-mir-3909
D012214,hsa-mir-101
D018335,hsa-mir-193a
D012175,hsa-let-7e
D012175,hsa-mir-18a
D012175,hsa-mir-34b
D012175,hsa-mir-34c
D012175,hsa-mir-125b
D012175,hsa-mir-449a
D012175,hsa-mir-124
D012175,hsa-mir-125a
D012175,hsa-mir-218
D012175,hsa-let-7a
D012175,hsa-let-7b
D012175,hsa-let-7c
D012175,hsa-let-7d
D012175,hsa-let-7f
D012175,hsa-let-7g
D012175,hsa-let-7i
D012175,hsa-mir-15a
D012175,hsa-mir-15b
D012175,hsa-mir-16
D012175,hsa-mir-17
D012175,hsa-mir-192
D012175,hsa-mir-19a
D012175,hsa-mir-19b
D012175,hsa-mir-200a
D012175,hsa-mir-202
D012175,hsa-mir-20a
D012175,hsa-mir-21
D012175,hsa-mir-221
D012175,hsa-mir-222
D012175,hsa-mir-31
D012175,hsa-mir-376a
D012175,hsa-mir-494
D012175,hsa-mir-9
D012175,hsa-mir-101
D012175,hsa-mir-106b
D012175,hsa-mir-145
D012175,hsa-mir-181b
D012175,hsa-mir-183
D012175,hsa-mir-24
D012175,hsa-mir-25
D012175,hsa-mir-26a
D012175,hsa-mir-29a
D012175,hsa-mir-373
D012175,hsa-mir-613
D012175,hsa-mir-34a
D012175,hsa-mir-18
D012175,hsa-mir-204
D012175,hsa-mir-433
D012175,hsa-mir-513a
D012175,hsa-mir-513b
D012175,hsa-mir-513c
D012175,hsa-mir-10b
D012175,hsa-mir-135b
D012175,hsa-mir-142
D012175,hsa-mir-29b
D012175,hsa-mir-29c
D012175,hsa-mir-30c
D012175,hsa-mir-491
D012175,hsa-mir-497
D012175,hsa-mir-492
D012175,hsa-mir-498
D012175,hsa-mir-503
D012175,hsa-mir-513
D012175,hsa-mir-518c
D012175,hsa-mir-198
D012175,hsa-mir-129
D012175,hsa-mir-32
D012174,hsa-mir-1
D012174,hsa-mir-133
D012174,hsa-mir-183
D012174,hsa-mir-9
D012174,hsa-mir-133a
D012174,hsa-mir-182
D012174,hsa-mir-142
D012162,hsa-mir-182
D012162,hsa-mir-183
D012162,hsa-mir-9
D012162,hsa-mir-1
D012162,hsa-mir-133b
D012162,hsa-mir-142
D012162,hsa-let-7a
D012162,hsa-let-7b
D012162,hsa-let-7c
D012162,hsa-let-7d
D012162,hsa-let-7e
D012162,hsa-let-7f
D012162,hsa-let-7g
D012162,hsa-let-7i
D012162,hsa-mir-200b
D012162,hsa-mir-125a
D012162,hsa-mir-146
D012162,hsa-mir-410
D012162,hsa-mir-204
D018357,hsa-let-7i
D018357,hsa-mir-24
D018357,hsa-mir-30b
D018357,hsa-mir-26b
D018357,hsa-mir-125a
D018357,hsa-mir-125b
D018357,hsa-mir-429
D018357,hsa-mir-155
D018357,hsa-mir-16
D018357,hsa-mir-203a
D018357,hsa-mir-27b
D018357,hsa-mir-29c
D018357,hsa-mir-31
D018357,hsa-mir-34b
D018357,hsa-mir-34c
D012128,hsa-mir-181a
D012128,hsa-mir-424
D012128,hsa-mir-9
D012128,hsa-mir-199a
D012128,hsa-mir-24
D012128,hsa-mir-18a
D012004,hsa-mir-221
D012004,hsa-mir-100
D012004,hsa-mir-141
D012004,hsa-mir-183
D012004,hsa-mir-196a
D012004,hsa-mir-200c
D012004,hsa-mir-203
D012004,hsa-mir-34a
D012004,hsa-mir-630
D012004,hsa-mir-9
D012004,hsa-mir-135a
D012004,hsa-mir-135b
D012004,hsa-mir-21
D012004,hsa-mir-125a
D012004,hsa-mir-133a
D012004,hsa-mir-139
D012004,hsa-mir-143
D012004,hsa-mir-145
D012004,hsa-mir-30a
D012004,hsa-mir-133b
D012004,hsa-mir-31
D012004,hsa-mir-106a
D016553,hsa-mir-223
D016553,hsa-mir-302a
D016553,hsa-mir-302c
D016553,hsa-mir-3620
D016553,hsa-mir-378
D016553,hsa-mir-410
D016553,hsa-mir-4721
D016553,hsa-mir-483
D016553,hsa-mir-544a
D016553,hsa-mir-597
D016553,hsa-mir-146a
D016553,hsa-mir-125a
D011660,hsa-mir-146a
D011658,hsa-mir-19a
D011658,hsa-mir-214
D011658,hsa-mir-19b
D011658,hsa-mir-221
D011658,hsa-mir-26b
D011658,hsa-mir-449a
D011658,hsa-mir-200c
D011658,hsa-let-7d
D011658,hsa-mir-153
D011658,hsa-mir-154
D011658,hsa-mir-21
D011658,hsa-mir-218
D011658,hsa-mir-29c
D011658,hsa-mir-31
D011658,hsa-mir-34a
D011658,hsa-mir-486
D011658,hsa-mir-130b
D011658,hsa-mir-18a
D011658,hsa-mir-32
D011658,hsa-mir-1343
D011658,hsa-mir-200
D011658,hsa-mir-27b
D011658,hsa-mir-29
D011658,hsa-mir-212
D011658,hsa-mir-149
D011658,hsa-mir-140
D011655,hsa-mir-134
D029424,hsa-mir-122
D029424,hsa-mir-16
D029424,hsa-mir-21
D029424,hsa-mir-199a
D029424,hsa-mir-146a
D029424,hsa-mir-196a
D029424,hsa-mir-499a
D029424,hsa-mir-218
D029424,hsa-mir-1
D029424,hsa-mir-132
D029424,hsa-mir-149
D029424,hsa-mir-15a
D029424,hsa-mir-23a
D029424,hsa-mir-34
D029424,hsa-mir-9
D029424,hsa-mir-133a
D029424,hsa-mir-133b
D029424,hsa-mir-203
D029424,hsa-mir-206
D029424,hsa-mir-34a
D029424,hsa-mir-150
D029424,hsa-mir-193
D029424,hsa-mir-32
D029424,hsa-mir-100
D029424,hsa-mir-20a
D029424,hsa-mir-28
D029424,hsa-mir-34c
D029424,hsa-mir-7
D029424,hsa-let-7a
D029424,hsa-let-7c
D029424,hsa-mir-126
D029424,hsa-mir-155
D029424,hsa-mir-200b
D029424,hsa-mir-210
D029424,hsa-mir-30a
D029424,hsa-mir-451
D011625,hsa-mir-122
D011625,hsa-mir-200a
D011625,hsa-mir-1246
D011625,hsa-mir-1308
D011625,hsa-mir-141
D011625,hsa-mir-143
D011625,hsa-mir-18a
D011625,hsa-mir-1972
D011625,hsa-mir-1973
D011625,hsa-mir-200b
D011625,hsa-mir-210
D011625,hsa-mir-211
D011625,hsa-mir-29b
D011625,hsa-mir-31
D011625,hsa-mir-3172
D011625,hsa-mir-3175
D011625,hsa-mir-375
D011625,hsa-mir-451
D011625,hsa-mir-486
D011625,hsa-mir-663b
D011625,hsa-mir-665
D011625,hsa-mir-675
D011625,hsa-mir-9
D011565,hsa-mir-143
D011565,hsa-mir-223
D011565,hsa-mir-33
D011565,hsa-mir-126
D011565,hsa-mir-146a
D011565,hsa-mir-146b
D011565,hsa-mir-155
D011565,hsa-mir-21
D011565,hsa-mir-369
D011565,hsa-mir-492
D011565,hsa-mir-125b
D011565,hsa-mir-17
D011565,hsa-mir-18
D011565,hsa-mir-193b
D011565,hsa-mir-19a
D011565,hsa-mir-19b
D011565,hsa-mir-203
D011565,hsa-mir-20a
D011565,hsa-mir-31
D011565,hsa-mir-9
D011565,hsa-let-7a
D011565,hsa-mir-130a
D011565,hsa-mir-138
D011565,hsa-mir-150
D011565,hsa-mir-181b
D011565,hsa-mir-194
D011565,hsa-mir-210
D011565,hsa-mir-26b
D011565,hsa-mir-217
D011565,hsa-mir-100
D011565,hsa-mir-106a
D011565,hsa-mir-142
D011565,hsa-mir-197
D011565,hsa-mir-378
D011565,hsa-mir-423
D011565,hsa-mir-146a
D011565,hsa-let-7e
D011565,hsa-mir-133b
D011565,hsa-mir-21
D011565,hsa-mir-10a
D011565,hsa-mir-30e
D011565,hsa-mir-31
D011565,hsa-mir-200a
D011565,hsa-mir-30c
D011565,hsa-mir-203
D011565,hsa-mir-32
D011565,hsa-mir-125b
D011565,hsa-mir-100
D011565,hsa-mir-146b
D011565,hsa-mir-122a
D011565,hsa-mir-141
D011565,hsa-mir-17
D011565,hsa-mir-22
D011565,hsa-mir-142
D011565,hsa-mir-197
D011565,hsa-mir-215
D011565,hsa-mir-381
D011565,hsa-mir-106a
D011565,hsa-mir-20a
D011565,hsa-mir-524
D011565,hsa-mir-9
D011565,hsa-mir-365
D011565,hsa-mir-518b
D011471,hsa-mir-19b
D011471,hsa-mir-297
D011471,hsa-mir-34b
D011471,hsa-mir-34c
D011471,hsa-mir-9
D011471,hsa-mir-132
D011471,hsa-mir-212
D011471,hsa-mir-199a
D011471,hsa-mir-1
D011471,hsa-mir-101
D011471,hsa-mir-129
D011471,hsa-mir-135a
D011471,hsa-mir-139
D011471,hsa-mir-141
D011471,hsa-mir-145
D011471,hsa-mir-146a
D011471,hsa-mir-181a
D011471,hsa-mir-181b
D011471,hsa-mir-205
D011471,hsa-mir-21
D011471,hsa-mir-221
D011471,hsa-mir-24
D011471,hsa-mir-25
D011471,hsa-mir-30d
D011471,hsa-mir-371
D011471,hsa-mir-372
D011471,hsa-mir-375
D011471,hsa-mir-502
D011471,hsa-mir-512
D011471,hsa-mir-663
D011471,hsa-mir-665
D011471,hsa-mir-671
D011471,hsa-mir-1207
D011471,hsa-mir-1271
D011471,hsa-mir-1297
D011471,hsa-mir-1307
D011471,hsa-mir-130a
D011471,hsa-mir-138
D011471,hsa-mir-143
D011471,hsa-mir-193a
D011471,hsa-mir-194
D011471,hsa-mir-200b
D011471,hsa-mir-204
D011471,hsa-mir-22
D011471,hsa-mir-26a
D011471,hsa-mir-33a
D011471,hsa-mir-34
D011471,hsa-mir-3619
D011471,hsa-mir-382
D011471,hsa-mir-383
D011471,hsa-mir-449
D011471,hsa-mir-455
D011471,hsa-mir-500
D011471,hsa-mir-543
D011471,hsa-mir-574
D011471,hsa-mir-590
D011471,hsa-mir-875
D011471,hsa-mir-195
D011471,hsa-mir-149
D011471,hsa-mir-185
D011471,hsa-let-7b
D011471,hsa-mir-1179
D011471,hsa-mir-1184
D011471,hsa-mir-1299
D011471,hsa-mir-155
D011471,hsa-mir-182
D011471,hsa-mir-183
D011471,hsa-mir-18a
D011471,hsa-mir-19a
D011471,hsa-mir-200a
D011471,hsa-mir-23b
D011471,hsa-mir-30c
D011471,hsa-mir-3120
D011471,hsa-mir-3149
